state_name_crime,district_name,total_crimes,Ranking,state_name_pop,Population,Growth,Sex-Ratio,Literacy,crime_rate_per_capita,safety_score
Assam,Sivasagar,2410.0,406.0,Assam,1151050.0,9.44 %,954.0,80.41,209.37404978063506,97.990948539425
Assam,Sonitpur,4402.0,245.0,Assam,1924110.0,15.55 %,956.0,67.34,228.781098793728,97.80472794424593
Assam,Tinsukia,3311.0,367.0,Assam,1327929.0,15.47 %,952.0,69.66,249.3356196001443,97.6074967683155
Assam,Udalguri,1025.0,476.0,Assam,831668.0,9.61 %,973.0,65.41,123.24629539672081,98.81738854439381
Assam,Tinsukia,166.0,367.0,Assam,1327929.0,15.47 %,952.0,69.66,12.50066833392448,99.8800496718636
Bihar,Arwal,919.0,502.0,Bihar,700843.0,18.89 %,928.0,67.43,131.12779895069224,98.74176147292424
Bihar,Aurangabad,2879.0,71.0,Maharashtra,3701282.0,27.76 %,923.0,79.02,77.7838597545391,99.25362394617315
Bihar,Aurangabad,2879.0,169.0,Bihar,2540073.0,26.18 %,926.0,70.32,113.3431991915193,98.9124138348542
Bihar,Pashchim Champaran,1656.0,64.0,Bihar,3935042.0,29.29 %,909.0,55.7,42.08341359507726,99.59618804891173
Bihar,Banka,3368.0,227.0,Bihar,2034763.0,26.48 %,907.0,58.17,165.52296262513127,98.41172222551394
Bihar,Pashchim Champaran,5244.0,64.0,Bihar,3935042.0,29.29 %,909.0,55.7,133.26414305107798,98.72126215488714
Bihar,Bhagalpur,6069.0,120.0,Bihar,3037766.0,25.36 %,880.0,63.14,199.784973562809,98.08296064694824
Bihar,Buxar,3021.0,285.0,Bihar,1706352.0,21.67 %,922.0,70.14,177.04436130411545,98.30116849228801
Bihar,Darbhanga,4801.0,61.0,Bihar,3937385.0,19.47 %,911.0,56.56,121.93371996896418,98.82998337925044
Bihar,Gaya,8161.0,42.0,Bihar,4391418.0,26.43 %,937.0,63.67,185.83974470205297,98.216772274703
Bihar,Gopalganj,3662.0,163.0,Bihar,2562012.0,19.02 %,1021.0,65.47,142.9345373870224,98.62846975828727
Bihar,Munger,418.0,358.0,Bihar,1367765.0,20.21 %,876.0,70.46,30.560805401512685,99.70675338805079
Bihar,Jamui,2390.0,273.0,Bihar,1760405.0,25.85 %,922.0,59.79,135.76421334863284,98.69727269732014
Bihar,Jehanabad,1985.0,412.0,Bihar,1125313.0,21.68 %,922.0,66.8,176.39536733335524,98.3073959225079
Bihar,Katihar,4053.0,117.0,Bihar,3071029.0,28.35 %,919.0,52.24,131.97530860177483,98.73362918287138
Bihar,Katihar,466.0,117.0,Bihar,3071029.0,28.35 %,919.0,52.24,15.174067063515194,99.85439703903727
Bihar,Khagaria,3261.0,296.0,Bihar,1666886.0,30.19 %,886.0,57.92,195.6342545321036,98.12278892623982
Bihar,Kishanganj,1904.0,293.0,Bihar,1690400.0,30.40 %,950.0,55.46,112.63606247042121,98.91919917460304
Bihar,Lakhisarai,1177.0,445.0,Bihar,1000912.0,24.77 %,902.0,62.42,117.59275540706875,98.87163716204978
Bihar,Madhepura,3384.0,231.0,Bihar,2001762.0,31.12 %,911.0,52.25,169.05106601084444,98.37786826286884
Bihar,Madhubani,5218.0,37.0,Bihar,4487379.0,25.51 %,926.0,58.62,116.28168692682297,98.88421753697165
Bihar,Purbi Champaran,8773.0,20.0,Bihar,5099371.0,29.43 %,902.0,55.79,172.04082621170338,98.34917997936572
Bihar,Munger,2578.0,358.0,Bihar,1367765.0,20.21 %,876.0,70.46,188.48267063420982,98.19141204400701
Bihar,Muzaffarpur,9321.0,24.0,Bihar,4801062.0,28.14 %,900.0,63.43,194.14454551930388,98.13708344875172
Bihar,Muzaffarpur,513.0,24.0,Bihar,4801062.0,28.14 %,900.0,63.43,10.685135913679098,99.89747063718589
Bihar,Bhagalpur,1528.0,120.0,Bihar,3037766.0,25.36 %,880.0,63.14,50.30012186587117,99.51734451615371
